Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_Type,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status
1,Female,25,Married,2,Graduate,Employed,Business,Own,Urban,139901,2533,743,0,10942,19822,0,24535,209,Home,4.27,Secured,Yes,8,20,0.81,1
2,Male,36,Married,2,High School,Employed,Business,Own,Suburban,21162,4041,468,1,48731,18321,0,8288,33,Home,14.78,Unsecured,Yes,9,9,0.17,0
3,Male,43,Single,0,Postgraduate,Self-Employed,Freelancer,Own,Urban,27815,3453,389,2,6925,13851,0,10308,159,Vehicle,12.33,Secured,Yes,7,27,0.25,0
4,Female,28,Married,0,High School,Self-Employed,Freelancer,Rent,Suburban,137853,2732,778,0,42016,28608,1,33937,39,Personal,8.77,Secured,No,9,16,0.27,1
5,Female,32,Single,0,Graduate,Employed,Salaried,Rent,Suburban,81753,1648,752,2,31747,8780,1,23360,34,Home,9.04,Unsecured,No,1,17,0.32,1
6,Male,49,Single,2,Postgraduate,Employed,Freelancer,Own,Urban,149372,2976,793,0,2635,4453,0,30056,111,Education,4.98,Unsecured,Yes,4,14,0.99,1
7,Female,41,Married,0,High School,Employed,Salaried,Own,Rural,123266,1118,707,0,15843,28872,0,34707,192,Personal,7.35,Unsecured,Yes,2,13,0.56,1
8,Female,52,Single,2,Postgraduate,Employed,Business,Own,Urban,59889,4622,349,2,12436,29440,0,10583,81,Vehicle,13.49,Unsecured,No,4,21,0.45,0
9,Male,27,Single,1,Graduate,Self-Employed,Freelancer,Rent,Urban,121626,2511,803,0,9919,13940,0,20239,101,Home,13.53,Secured,Yes,4,18,0.54,0
10,Male,61,Single,3,Postgraduate,Employed,Freelancer,Own,Urban,38330,4523,599,2,4325,19381,0,15084,164,Personal,14.07,Secured,No,4,19,0.22,1
11,Female,32,Married,3,Postgraduate,Self-Employed,Salaried,Rent,Suburban,54670,4969,772,1,28940,22104,0,20000,158,Home,6.74,Unsecured,No,6,8,0.68,1
12,Female,38,Married,2,Postgraduate,Employed,Professional,Rent,Suburban,45368,1746,311,2,4949,24498,0,15496,226,Vehicle,8.6,Secured,Yes,7,7,0.83,0
13,Male,54,Married,3,Graduate,Employed,Business,Own,Suburban,39362,2534,332,2,40843,9411,0,13170,203,Education,5.31,Secured,Yes,9,5,0.63,1
14,Male,39,Single,2,Postgraduate,Self-Employed,Salaried,Rent,Urban,114706,3895,789,0,27122,1043,0,31437,234,Education,5.81,Unsecured,Yes,3,27,0.13,1
15,Male,32,Divorced,0,High School,Employed,Freelancer,Own,Urban,83938,3444,756,1,43969,14421,0,22519,44,Personal,13.39,Unsecured,No,5,9,0.29,1
16,Female,37,Single,2,High School,Employed,Salaried,Own,Urban,126106,3076,826,0,46817,24028,0,36921,83,Vehicle,10.61,Unsecured,No,5,14,0.54,1
17,Female,46,Single,0,Postgraduate,Self-Employed,Salaried,Rent,Urban,141776,2887,745,1,16401,28232,1,25115,175,Home,13.17,Unsecured,No,9,14,0.33,1
18,Male,30,Single,0,High School,Employed,Salaried,Other,Urban,73388,1024,821,0,39869,21641,0,20347,157,Education,8.56,Secured,No,0,25,0.09,1
19,Female,47,Married,2,Graduate,Employed,Salaried,Own,Suburban,136354,3703,806,1,26560,6546,0,20651,70,Home,12.51,Unsecured,Yes,3,6,0.69,1
20,Female,34,Married,2,Postgraduate,Employed,Freelancer,Rent,Suburban,98808,2975,843,0,9826,19231,0,22547,51,Home,8.72,Secured,Yes,1,29,0.28,1
21,Male,25,Married,1,Graduate,Employed,Salaried,Rent,Rural,76173,1323,752,2,3851,29337,0,21185,122,Education,9.65,Unsecured,No,6,25,0.48,0
22,Female,33,Single,0,Graduate,Employed,Professional,Rent,Urban,112335,2636,815,2,19895,24735,0,20804,39,Personal,12.47,Secured,No,3,11,0.26,0
23,Female,29,Married,2,Postgraduate,Employed,Freelancer,Own,Suburban,59576,1966,748,2,2901,16499,0,20000,111,Education,8.27,Unsecured,No,3,8,0.72,1
24,Female,48,Married,1,High School,Self-Employed,Freelancer,Own,Urban,75902,4412,808,2,38696,4475,0,21091,133,Home,14.43,Unsecured,No,0,22,0.06,0
25,Female,36,Married,0,High School,Unemployed,Salaried,Own,Suburban,76130,3789,808,0,19161,10197,0,22559,119,Home,12.62,Unsecured,Yes,4,24,0.76,1
26,Male,62,Single,3,Postgraduate,Employed,Freelancer,Own,Suburban,25512,3437,444,1,49345,1466,1,5605,44,Home,8.03,Unsecured,Yes,8,14,0.47,1
27,Female,30,Married,3,Graduate,Employed,Business,Own,Urban,83447,3687,794,2,2841,19771,0,21241,161,Education,5.4,Unsecured,Yes,7,23,0.51,1
28,Male,40,Single,0,Postgraduate,Employed,Professional,Own,Urban,73963,4692,741,1,34053,3495,0,20696,41,Home,6.44,Unsecured,No,8,16,0.64,1
29,Female,36,Single,1,High School,Self-Employed,Business,Rent,Urban,127788,4444,784,0,41825,1942,0,35810,100,Home,10.02,Unsecured,Yes,5,28,0.46,1
30,Female,46,Divorced,1,Postgraduate,Self-Employed,Business,Own,Urban,104806,4972,839,2,47381,1269,1,23447,42,Home,5.99,Unsecured,No,7,8,0.06,1
31,Male,28,Divorced,2,High School,Employed,Salaried,Rent,Urban,67933,1594,742,0,23309,13179,1,20249,45,Personal,13.17,Secured,No,8,9,0.24,0
32,Female,27,Married,0,High School,Self-Employed,Professional,Own,Suburban,111334,4928,842,2,28057,7520,0,32288,184,Home,9.19,Secured,No,1,25,0.37,1
33,Female,26,Single,1,Graduate,Employed,Freelancer,Rent,Urban,99270,3883,712,0,14504,13508,0,26828,192,Personal,6.6,Secured,No,6,9,0.93,1
